source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL24649705M,"Essai théorique de droit naturel, basé sur les faits",,Luigi Taparelli d'Azeglio,1,,1875,Casterman,Sciences sociales,3,,,DUPLICATE_LIKE_3
/books/OL24786631M,"Essai théorique de droit naturel, basé sur les faits",,Luigi Taparelli d'Azeglio,1,,1875,Casterman,Sciences sociales,3,,,DUPLICATE_LIKE_3
/books/OL2109374M,Goscinny,,M. A. Guillaume,1,9782232101137,1987,Le Club des stars,Biographie,2,,,DUPLICATE_LIKE_2
/books/OL5307851M,The royal touch,sacred monarchy and scrofula in England and France.,Marc Bloch | Dr. Antonio Fontoura,2,9780710073556,1973,Routledge & K. Paul,Histoire,0,,,FOREIGN_TITLE_EN_3
/books/OL3006478M,De Socrate iuste damnato,the rise of the Socratic problem in the eighteenth century,Mario Montouri,1,9789070265731,1981,J.C. Gieben,Biographie,0,,,FOREIGN_TITLE_EN_3
/books/OL53538284M,Naruto - romans - Tome 3 - Le roman de Kakashi,,Masashi Kishimoto | Akira Higashiyama,2,9782505065784,,,Fiction,0,,,WEAK_METADATA_2_OF_3
/books/OL8839197M,Fatale,,Max Cabanes | Jean-Patrick Manchette | Donald Nicholson-Smith | David Peace | Doug Headline,5,9782070407644,1999,Gallimard,Fiction | Policier et mystère,0,,,MULTI_AUTHOR_5
/books/OL5185788M,The fire of life,an introduction to animal energetics,Max Kleiber,1,9780882751610,1975,R. E. Krieger Pub. Co.,,0,,,FOREIGN_TITLE_EN_4
/books/OL13587009M,An apostle of freedom,life and teachings of Nicolas Berdyaev,Michel Alexander Vallon,1,,1960,Philosophical Library,Fiction | Histoire,0,,,FOREIGN_TITLE_EN_3
/books/OL12629679M,La Pensée du dehors,,Michel Foucault,1,9782851940650,1986,Fata Morgana,Philosophie,2,,,DUPLICATE_LIKE_2
/books/OL19409286M,"Language, counter-memory, practice",selected essays and interviews,Michel Foucault,1,9780801409790,1980,Cornell University Press,Philosophie,0,,,FOREIGN_TITLE_EN_3
/books/OL22116460M,Sardinian and Aegean chronology,"towards the resolution of relative and absolute dating in the Mediterranean ; proceedings of the International Colloquium 'Sardinian Stratigraphy and Mediterranean Chronology', Tufts University, Medford, Massachusetts, March 17-19, 1995","Miriam S. Balmuth | Robert H. Tykot | International Colloquium ""Sardinian Stratigraphy and Mediterranean Chronology"" (1995 Medford, Mass.)",3,9781900188821,1998,Oxbow,Histoire | Sciences sociales,0,,,FOREIGN_TITLE_EN_4
/books/OL24138255M,Works of Michael de Montaigne.,"Comprising his Essays, Journey into Italy, and Letters, with notes from all the commentators, biographical and bibliographical notices, etc.","Montaigne, Michel de",1,,1875,Hurd and Houghton,Voyage,0,,,FOREIGN_TITLE_EN_7
/books/OL14622393M,The painter and the New World.,Le peintre et la Nouveau Monde.,Montreal Museum of Fine Arts,1,,1967,,,0,,,FOREIGN_TITLE_EN_3 | WEAK_METADATA_2_OF_3
/books/OL8940439M,"Lucky Luke, tome 26",Les Dalton se rachètent,Morris | René Goscinny,2,9782800114668,1988,Dupuis,,2,,,DUPLICATE_LIKE_2
/books/OL12381779M,Frequence Jeunes,Cahier D'Exercices,N. Gidon | G. Capelle | M. Cavalli,3,9782010212376,1994,Hachette,,2,,,DUPLICATE_LIKE_2
/books/OL12382418M,Frequence Jeunes,Methode De Francais,N. Gidon | G. Capelle | M. Cavalli,3,9782011549785,1994,Hachette,,2,,,DUPLICATE_LIKE_2
/books/OL22262959M,Ici,,Nathalie Sarraute,1,9782070742448,1995,Gallimard,Fiction,2,,,DUPLICATE_LIKE_2
/books/OL14038472M,"Reports, resolutions and documents, of the Union defense committee of the citizens of New York.",,New York. Union defence committee,1,,1861,"Baptist & Taylor, printers",Histoire,0,,,FOREIGN_TITLE_EN_3
/books/OL14286398M,Looking forward; what will the American people do about it?,Essays and addresses on matters national and international,Nicholas Murray Butler,1,,1932,C. Scribner's Sons,Politique,0,,,FOREIGN_TITLE_EN_3
/books/OL1271708M,The life of the lord keeper North,,"North, Roger",1,9780773489721,1995,E. Mellen Press,Biographie | Histoire | Politique,0,,,STRONG_FOREIGN_EN | FOREIGN_TITLE_EN_3
/books/OL23279080M,"The arts in the Middle Ages, and at the period of the Renaissance.",,P. L. Jacob,1,,1875,Chapman and Hall,,0,,,FOREIGN_TITLE_EN_4
/books/OL31977852M,Batman,la relève : Le Gotham de demain,Paul Dini | Judd Winick | Bob Kane,3,9782893939209,2000,Phidal,BD et romans graphiques | Fantasy,2,,,DUPLICATE_LIKE_2
/books/OL22383901M,L 'éthique,essai sur la conscience du mal,Peter Hallward | Alain Badiou,2,9782218069413,1993,Hatier,,2,,,DUPLICATE_LIKE_2
/books/OL14058385M,L' éthique.,Traduit du russe avec une introd. par Marie Goldsmith.,Peter Kropotkin,1,,1927,Stock,Histoire | Philosophie | Sciences sociales,2,,,DUPLICATE_LIKE_2
/books/OL251039M,The geology and scenery of the Grampians and the Valley of Strathmore,,Peter Macnair,1,,1908,J. MacLehose and Sons,Voyage,0,,,FOREIGN_TITLE_EN_3
/books/OL2212991M,"Heidegger, art, and politics",the fiction of the political,Philippe Lacoue-Labarthe,1,9780631167020,1990,B. Blackwell,Histoire | Philosophie | Politique,0,,,FOREIGN_TITLE_EN_4
/books/OL5612534M,A History of the comic strip,,Pierre Couperie,1,,1968,Crown Publishers,,0,,,FOREIGN_TITLE_EN_3
/books/OL16507981M,Conceptualization of the person in social sciences,"the proceedings of the eleventh plenary session of the Pontifical Academy of Social Sciences, 18-22 November 2005",Pontificia Accademia delle scienze sociali. Plenary Session,1,9788886726184,2006,Pontifical Academy of Social Sciences,Philosophie | Sciences sociales,0,,,FOREIGN_TITLE_EN_3
/books/OL14545231M,Thirty years of army life on the border.,"Comprising descriptions of the Indian nomads of the plains; explorations of new territory; a trip across the Rocky Mountains in the winter; descriptions of the habits of different animals found in the West, and the methods of hunting them; with incidents in the life of different frontier men, &c., &c.",Randolph Barnes Marcy,1,,1866,Harper & Brothers,Histoire | Voyage,0,,,STRONG_FOREIGN_EN | FOREIGN_TITLE_EN_6
/books/OL47740076M,Les rois des sables,,Raquel Marqués García | Virginia Sáenz Fernández | Marco Antonio Fernández Lago | Enrique Jimenez Corominas | Salvador Tintoré Fernández | George R. R. Martin | Alejo Cuervo Rieger | Cristina Macía Orío | Teresa Jarrín Rodríguez,9,9782290356197,2007,J'ai Lu,BD et romans graphiques,0,,,MULTI_AUTHOR_9
/books/OL8887305M,Discours De La Methode,,René Descartes,1,9782253012184,1999,Livre de Poche,Philosophie | Sciences,2,,,DUPLICATE_LIKE_2
/books/OL24191905M,Discours de la méthode,"Nouv. éd., publiée avec une introd. et des notes par T.V. Charpentier",René Descartes,1,,1910,Hachette,Philosophie | Sciences,2,,,DUPLICATE_LIKE_2
/books/OL6103582M,The meditations and selections from the Principles of René Descartes (1596-1650),,René Descartes,1,,1913,Open court Pub. Co.,Philosophie | Sciences,0,,,FOREIGN_TITLE_EN_4
/books/OL7056258M,"The method, meditations and philosophy of Descartes",,René Descartes,1,,1901,Aladdin,Philosophie | Sciences,0,,,FOREIGN_TITLE_EN_3
/books/OL12628899M,Matisse,De la couleur à l'architecture,René Percheron,1,9782850881824,2002,Citadelles & Mazenod,Arts,2,,,DUPLICATE_LIKE_2
/books/OL7032266M,"The doctrine of degree in knowledge, truth, and reality",,Richard Burdon Viscount Haldane of Cloan,1,,1919,Pub. for the British academy by H. Milford,Philosophie,0,,,FOREIGN_TITLE_EN_4
/books/OL32230213M,Ici,,Richard McGuire,1,9782070652440,2015,GALLIMARD BD,BD et romans graphiques | Fantasy | Science-fiction,2,,,DUPLICATE_LIKE_2
/books/OL176683M,"Mexico, its peasants and its priests, or, Adventures and historical researches in Mexico and its silver mines during parts of the years 1851-52-53-54",with an exposé of the fabulous character of the story of the conquest of Mexico by Cortez,Robert Anderson Wilson | Robert Anton Wilson | Robert A. Wilson,3,,1856,Harper & Bros.,Religion | Voyage,0,,,FOREIGN_TITLE_EN_5
/books/OL22303339M,Essays on Montesquieu and on the Enlightenment,,Robert Shackleton,1,9780729403542,1988,Voltaire Foundation,Politique,0,,,FOREIGN_TITLE_EN_3
/books/OL22136498M,Olafur Eliasson.,,Rodney Cotterill | Jakob Jakobsen | Frederic Brown | Adam Szymczyk | Sheena Wagstaff | Jill Medvedow | Olafur Eliasson | Ingo Niermann | Karl Holmquist | Vanessa Hirsch | Thomas Worm | Frida Bjork Ingvarsdottir | Anders Munch | Gitte yrskou | Andrzej Przywara | Svend Åge Madsen | Israel Rosenfield,17,9782879007007,2002,Musées de la ville de Paris,Arts,0,,,MULTI_AUTHOR_17
/books/OL51747807M,Marrons,Origines et destinées,"Russell Shoats | Quincy Saul | Songe Riddle | Mac McGill | Allen, Hannah (Cartoonist) | Emmy Kepler | Seth Tobocman",7,9782490403103,2021,LIBRE,Arts,0,,,MULTI_AUTHOR_7
/books/OL22181203M,"What's what, a visual glossary of the physical world",,Réginald Bragonier,1,9780843733297,1981,Hammond Inc,Jeunesse | Technologie,0,,,FOREIGN_TITLE_EN_3
/books/OL11634235M,"The Influence of Genetics on Contemporary Thinking (Logic, Epistemology, and the Unity of Science)",,Shahid Rahman | Anne Fagot-Largeault,2,9781402056635,2007,Springer,Philosophie,0,,,FOREIGN_TITLE_EN_4
